"x","y","aspect","dem","ndvi","savi","slope","tpi","tri"
461231.274479694,8708832.73466657,4.5077109336853,4567,0.375072956085205,0.230943724513054,0.19396036863327,-4.25,11.75
463371.853493231,8706122.31624488,5.31238031387329,4581,0.37034273147583,0.201659813523293,0.197724536061287,-0.75,11.5
459016.882396725,8710187.94387741,5.36573886871338,4480,0.196976348757744,0.105893887579441,0.312364339828491,2.25,18
454735.724369651,8704842.39643464,2.76809859275818,3944,0.355820298194885,0.162523314356804,0.304670691490173,3,18.5
461895.592104585,8709886.786275,4.535325050354,4626,0.228292986750603,0.0473889075219631,0.417757660150528,1.25,24.75
458943.069327293,8709209.18166958,4.58717012405396,4472,0.341750264167786,0.190495580434799,0.158496841788292,2.625,9.375
460345.517646507,8707778.68305813,5.13079643249512,4505,0.230396613478661,0.135124087333679,0.27533084154129,1.25,16.5
463076.601215502,8707025.78905211,4.51769256591797,4514,0.370855331420898,0.159076407551765,0.0943025127053261,-1,5.5
450602.192481441,8701906.10981114,3.21224665641785,3413,0.331524044275284,0.210107520222664,0.0715882852673531,0.375,4.125
452668.958425546,8703487.18722379,3.15646457672119,3553,0.356379151344299,0.127842843532562,0.516049027442932,-1,32.25
462559.909729476,8708079.84066054,5.37099695205688,4411,0.265336275100708,0.14339904487133,0.491618603467941,-1,29.75
463593.292701528,8707778.68305813,5.79919958114624,4646,0.319996237754822,0.208872973918915,0.344636887311935,-3.5,21
455030.97664738,8704616.52823283,3.1826901435852,3836,0.42074465751648,0.200583919882774,0.241597861051559,-5.375,15.875
455695.294272271,8705218.84343765,2.52623271942139,3830,0.389945924282074,0.196896001696587,0.19901604950428,-12,14.75
457245.368730349,8706574.05264849,1.88277399539948,4298,0.488986134529114,0.322084933519363,0.362604707479477,-0.125,22.125
460419.330715939,8710865.54848283,2.05356907844543,4382,0.35318648815155,0.183220028877258,0.208350747823715,0.375,12.375
463740.918840393,8708682.15586536,3.69995594024658,4595,0.217216312885284,0.067726656794548,0.496181070804596,10.625,31.125
451266.510106332,8703487.18722379,2.90116190910339,3618,0.399878323078156,0.197514265775681,0.346795231103897,4.75,22
459607.386952183,8709359.76047078,1.94058346748352,4372,0.360908955335617,0.195061549544334,0.483227550983429,0.875,30.375
450454.566342576,8701755.53100994,3.75384569168091,3402,0.616397976875305,0.371655642986298,0.0264199376106262,-1.75,2
458647.817049563,8710865.54848283,3.98286581039429,4340,0.313449740409851,0.12987245619297,0.327234953641891,-7.25,19
460640.769924236,8709510.33927199,4.89072036743164,4387,0.309647262096405,0.150327101349831,0.158094927668571,4,9.5
459828.82616048,8707552.81485632,4.76907587051392,4323,0.401484102010727,0.230338409543037,0.439187586307526,-1.375,26.625
458574.003980131,8707477.52545572,1.09328651428223,4234,0.324988007545471,0.195904612541199,0.628992855548859,4.875,41.625
452964.210703275,8703938.92362741,2.45255661010742,3744,0.291589289903641,0.146589905023575,0.310726761817932,13.5,24.25
461674.152896288,8709058.60286837,4.75181007385254,4645,0.23321221768856,0.118106238543987,0.0421849973499775,10.625,10.625
461526.526757424,8708908.02406717,2.99613666534424,4610,0.265591561794281,0.110714644193649,0.293869465589523,0.25,17.5
